paper,title,room,category
317,A revision to the theory of organic fiducial inference,Room 1,stat.OT
318,"Geometric scaling: a simple preconditioner for certain linear systems
  with discontinuous coefficients",Room 5,cs.MS
319,Multi-Microphone Complex Spectral Mapping for Speech Dereverberation,Room 2,eess.AS
320,"How to compute the length of a geodesic on a Riemannian manifold with
  small error in arbitrary Sobolev norms",Room 7,math.NA
321,Why are quadratic normal volatility models analytically tractable?,Room 3,q-fin.PR
322,Credit contagion and risk management with multiple non-ordered defaults,Room 3,q-fin.RM
323,Harmonic based model predictive control for set-point tracking,Room 10,eess.SY
324,Bearing-Only Consensus and Formation Control under Directed Topologies,Room 10,eess.SY
325,Chance and necessity in chromosomal gene distributions,Room 6,q-bio.GN
326,"Comparison of Deep Reinforcement Learning and Model Predictive Control
  for Adaptive Cruise Control",Room 2,eess.SY
327,Multi-Level Order-Flow Imbalance in a Limit Order Book,Room 3,q-fin.TR
328,"Linear System Identification via EM with Latent Disturbances and
  Lagrangian Relaxation",Room 1,stat.CO
329,Similar sublattices of planar lattices,Room 7,math.MG
330,"Bayesian estimation of discretely observed multi-dimensional diffusion
  processes using guided proposals",Room 1,stat.CO
331,On the formation of hot DQ white dwarfs,Room 12,astro-ph.SR
332,Analog and Digital Circuit Design in 65 nm CMOS: End of the Road?,Room 10,cs.AR
333,Aronszajn's Criterion for Euclidean Space,Room 5,math.HO
334,Proper holomorphic mapppings between Reinhardt domains in $\mathbb C^2$,Room 7,math.CV
335,Analytic results and weighted Monte Carlo simulations for CDO pricing,Room 3,q-fin.CP
336,"Patterns in the distribution of vegetation in paramo areas:
  heterogeneity and spacial dependence",Room 11,q-bio.QM
337,"A multiscale model of vascular function in chronic thromboembolic
  pulmonary hypertension",Room 1,q-bio.TO
338,"Accurate Transfer Maps for Realistic Beamline Elements: Part I, Straight
  Elements",Room 11,physics.acc-ph
339,"Ground states of Heisenberg evolution operator in discrete
  three-dimensional space-time and quantum discrete BKP equations",Room 5,nlin.SI
340,"Productivity tools to study constrained motion: electrician's approach
  to mechanician's problem",Room 10,physics.ed-ph
341,"Deriving chemosensitivity from cell lines: Forensic bioinformatics and
  reproducible research in high-throughput biology",Room 1,stat.AP
342,"Switching between oscillations and homeostasis in competing negative and
  positive feedback motifs",Room 6,q-bio.MN
343,Robust Utility Maximization in Discrete-Time Markets with Friction,Room 3,q-fin.MF
344,A symbolic calculus for a class of quantum computing circuits,Room 8,cs.ET
345,Upgrade of the Analog Integrator for EAST Device,Room 11,eess.SP
346,"International Stock Market Efficiency: A Non-Bayesian Time-Varying Model
  Approach",Room 3,q-fin.ST
347,"Interaction of Tollmien-Schlichting Waves in the Air with the Sea
  Surface",Room 5,nlin.PS
348,Emergence of collective oscillations in adaptive cells,Room 6,q-bio.CB
349,"Projective modules over noncommutative tori are multi-window Gabor
  frames for modulation spaces",Room 7,math.OA
350,"Auxiliary-variable Exact Hamiltonian Monte Carlo Samplers for Binary
  Distributions",Room 1,stat.CO
351,"Stylized facts of price gaps in limit order books: Evidence from Chinese
  stocks",Room 3,q-fin.TR
352,"Uniform price auctions with pre-announced revenue targets: Evidence from
  China's SEOs",Room 4,econ.GN
353,Timed tuplix calculus and the Wesseling and van den Bergh equation,Room 3,q-fin.GN
354,Automated Chronotyping from a Daily Calendar using Machine Learning,Room 1,q-bio.OT
355,"A geometric realization of the ultradiscrete periodic Toda lattice via
  tropical plane curves",Room 7,nlin.SI
356,Unit Commitment Considering the Impact of Deep Cycling,Room 10,eess.SY
357,Means and Hermite Interpolation,Room 5,math.CA
358,"Laplace, Fourier, and stochastic diffusion",Room 5,math.HO
359,"Discrete- versus continuous-state descriptions of the F1-ATPase
  molecular motor",Room 6,q-bio.SC
360,"The integrals of motion for the elliptic deformation of the Virasoro and
  $W_N$ algebra",Room 7,nlin.SI
361,"Polynomial Weights or Generalized Geometric Weights: Yet Another Scheme
  for Assigning Credits to Multiple Authors",Room 4,cs.DL
362,Double Machine Learning for Time Series,Room 1,econ.EM
363,"Comparing human and automatic thesaurus mapping approaches in the
  agricultural domain",Room 12,cs.DL
364,"Geomagnetic origin of the radio emission from cosmic ray induced air
  showers observed by CODALEMA",Room 11,astro-ph.HE
365,"Welfare effects of information and rationality in portfolio decisions
  under parameter uncertainty",Room 3,q-fin.MF
366,"Upgrading and testing the 3D reconstruction of gamma-ray air showers as
  observed with an array of Imaging Atmospheric Cherenkov telescopes",Room 11,astro-ph.IM
367,"A probabilistic key agreement scheme for sensor networks without key
  predistribution",Room 10,cs.CR
368,Last multipliers for multivectors with applications to Poisson geometry,Room 7,math.DG
369,"A study on the combined interplay between stochastic fluctuations and
  the number of flagella in bacterial chemotaxis",Room 6,q-bio.MN
370,"Influence of nonlinear dissipation and external perturbations onto
  transition scenarious to chaos in Lorenz-Haken system",Room 8,nlin.CD
371,"Al-26 and the formation of the Solar System from a molecular cloud
  contaminated by Wolf-Rayet winds",Room 12,astro-ph.EP
372,Deterministic Secure Positioning in Wireless Sensor Networks,Room 10,cs.CR
373,"Adversarially learning disentangled speech representations for robust
  multi-factor voice conversion",Room 2,eess.AS
374,"IT-map: an Effective Nonlinear Dimensionality Reduction Method for
  Interactive Clustering",Room 2,stat.ML
375,"Towards nonlinear selection of reaction-diffusion patterns in presence
  of advection: A spatial dynamics approach",Room 8,nlin.PS
376,Width and finite extinction time of Ricci flow,Room 7,math.DG
377,"Bayes Shrinkage at GWAS scale: Convergence and Approximation Theory of a
  Scalable MCMC Algorithm for the Horseshoe Prior",Room 1,stat.CO
378,On two problems concerning topological centers,Room 7,math.DS
379,"Optimal Power Flow in Hybrid AC and Multi-terminal HVDC Networks with
  Offshore Wind Farm Integration Based on Semidefinite Programming",Room 10,eess.SY
380,Application of Deep Q-Network in Portfolio Management,Room 3,q-fin.PM
381,Entangling credit and funding shocks in interbank markets,Room 3,q-fin.RM
382,Multifractality of quantum wave packets,Room 5,nlin.CD
383,Bayesian inference for the automultinomial model with an application to landcover data,Room 2,stat.OT
384,"Fashion, Cooperation, and Social Interactions",Room 4,cs.MA
385,The dusty Nebula surrounding HR Car: a Spitzer view,Room 12,astro-ph.GA
386,SPARC: Staking Performance And Reward Coopetition,Room 4,econ.TH
387,"Review of Low Voltage Load Forecasting: Methods, Applications, and
  Recommendations",Room 3,stat.OT
388,Multiple disjunction for spaces of Poincare embeddings,Room 7,math.AT
389,"Blogging in the physics classroom: A research-based approach to shaping
  students' attitudes towards physics",Room 11,physics.ed-ph
390,"Communicative Competencies and the Structuration of Expectations: The
  creative tension between Habermas' critical theory and Luhmann's social
  systems theory",Room 6,nlin.AO
391,Bias-Aware Inference in Regularized Regression Models,Room 4,econ.EM
392,A Tutorial on Bridge Sampling,Room 1,stat.CO
393,Optimal execution and block trade pricing: a general framework,Room 3,q-fin.TR
394,Hemoglobin Strain Field Waves and Allometric Functionality,Room 8,q-bio.BM
395,Compatibility studies of loquat scions with loquat and quince rootstocks,Room 11,q-bio.OT
396,High-performance Decoder for Convolutional Code with Deep Neural Network,Room 2,eess.SP
397,The energy of muscle contraction. II. Transverse compression and work,Room 11,q-bio.TO
398,Detection of Crashes and Rebounds in Major Equity Markets,Room 3,q-fin.GN
399,Optimal regularity for planar mappings of finite distortion,Room 5,math.CV
400,Rational Models for Inflation-Linked Derivatives,Room 3,q-fin.PR
401,Speaker embeddings by modeling channel-wise correlations,Room 2,eess.AS
402,Optimal transport for model calibration,Room 3,q-fin.MF
403,"Simultaneous confidence bands for nonparametric regression with
  functional data",Room 1,stat.ME
404,Generalized Bounded Variation and Inserting point masses,Room 5,math.CA
405,"Complementary Fractional Dimensional Order of Nyquist Sinc Sequences for
  Time Division Multiplexing",Room 5,eess.SP
406,"Keeping up with ""The Joneses"": reference dependent choice with social
  comparisons",Room 4,econ.TH
407,"Comment on ""Steady-state fluctuations of a genetic feedback loop: an
  exact solution"" [J. Chem. Phys. {\bf 137}, 035104 (2012).]",Room 6,q-bio.SC
408,Crude oil price forecasting incorporating news text,Room 2,q-fin.ST
409,"Role of Particle Interactions in the Feshbach Conversion of Fermion
  Atoms to Bosonic Molecules",Room 8,cond-mat.mes-hall
410,Chemical Yields from Supernovae and Hypernovae,Room 12,astro-ph.SR
411,"A probability-free and continuous-time explanation of the equity premium
  and CAPM",Room 3,q-fin.MF
412,4D X-Ray CT Reconstruction using Multi-Slice Fusion,Room 2,eess.IV
413,An Answer to Multiple Problems with Analysis of Data on Harms?,Room 1,stat.ME
414,"An Efficient Secure Multimodal Biometric Fusion Using Palmprint and Face
  Image",Room 1,cs.CV
415,"Calculating the Charged Particle Stopping Power Exactly to Leading and
  Next-to-leading Order",Room 11,physics.plasm-ph
416,"A PMU Based Islanding Detection Scheme Immune to Additive
  Instrumentation Channel Errors",Room 10,eess.SY
417,"Evolving Dynamic Change and Exchange of Genotype Encoding in Genetic
  Algorithms for Difficult Optimization Problems",Room 10,cs.NE
418,Rethinking the Separation Layers in Speech Separation Networks,Room 2,eess.AS
419,"Hypergeometric Solutions of the $A_4^{(1)}$-Surface $q$-Painlev\'e IV
  Equation",Room 5,nlin.SI
420,"Interbreeding conditions for explaining Neandertal DNA in living humans:
  the nonneutral case",Room 11,q-bio.PE
421,An end-to-end assembly of the Aedes aegypti genome,Room 6,q-bio.GN
422,"An Extended Laplace Approximation Method for Bayesian Inference of
  Self-Exciting Spatial-Temporal Models of Count Data",Room 2,stat.CO
423,Decay of superfluid currents in the interacting one-dimensional Bose gas,Room 8,cond-mat.quant-gas
424,Gas Dynamic Virtual Nozzle for Generation of Microscopic Droplet Streams,Room 8,physics.bio-ph
425,"Bi-Directional Lattice Recurrent Neural Networks for Confidence
  Estimation",Room 2,eess.AS
426,"Detection and Detectability of Intermittent Faults Based on Moving
  Average T2 Control Charts with Multiple Window Lengths",Room 1,eess.SY
427,"Chaos synchronization in networks of coupled maps with time-varying
  topologies",Room 6,nlin.CD
428,"Compact differences of composition operators from Bloch space to bounded
  holomorphic function space in the Polydisc",Room 7,math.FA
429,Energy of tsunami waves generated by bottom motion,Room 5,physics.ao-ph
430,The Level-0 Muon Trigger for the LHCb Experiment,Room 11,physics.ins-det
431,"A Robust Approach for Identifying Gene-Environment Interactions for
  Prognosis",Room 2,stat.AP
432,Orientation Sensitive Terahertz Resonances Observed in Protein Crystals,Room 11,q-bio.BM
433,"An Algorithm for Computing the Distribution Function of the Generalized
  Poisson-Binomial Distribution",Room 1,stat.CO
434,"Uniform Convergence of the Spectral Expansion for a Differential
  Operator with Periodic Matrix Coefficients",Room 5,math.SP
435,Quantization goes Polynomial,Room 12,q-fin.PR
436,"The Kuramoto model of coupled oscillators with a bi-harmonic coupling
  function",Room 8,nlin.CD
437,"A Hierarchical Framework for Ambient Signals based Load Modeling with
  Exploring the Hidden Quasi-convexity",Room 3,eess.SY
438,Stochastic origin of Gompertzian growths,Room 5,q-bio.QM
439,Consistent Riccati Expansion and Solvability,Room 12,nlin.SI
440,"Intra-class variation reduction of speaker representation in
  disentanglement framework",Room 2,eess.AS
441,"Stochastic Differential Games with Reflection and Related Obstacle
  Problems for Isaacs Equations",Room 4,math.PR
442,"Identification and Estimation of Nonseparable Triangular Equations with
  Mismeasured Instruments",Room 4,econ.EM
443,Tractability and Phase Transitions in Endogenous Network Formation,Room 4,econ.TH
444,"Induced Periosteum-Mimicking Membrane with Cell Barrier and
  Multipotential Stromal Cell (MSC) Homing Functionalities",Room 6,q-bio.TO
445,A ratchet mechanism for amplification in low-frequency mammalian hearing,Room 2,q-bio.NC
446,A biomimetic kidney tubule model,Room 6,q-bio.TO
447,End-to-End Multi-Look Keyword Spotting,Room 2,eess.AS
448,Training Keyword Spotting Models on Non-IID Data with Federated Learning,Room 12,eess.AS
449,"Improving localization-based approaches for breast cancer screening exam
  classification",Room 2,eess.IV
450,"Nonlinear preferential rewiring in fixed-size networks as a diffusion
  process",Room 6,nlin.AO
451,"Nonrelativistic, Quasirelativistic and Relativistic Sets of Wave
  Functions, and Slater Orbitals of Particles with Arbitrary Spin",Room 8,physics.chem-ph
452,"Clustering by soft-constraint affinity propagation: Applications to
  gene-expression data",Room 2,q-bio.QM
453,Developing E-Learning Materials for Software Development Course,Room 12,cs.CY
454,Special section on statistics in the atmospheric sciences,Room 1,stat.AP
455,Are Markov Models Effective for Storage Reliability Modelling?,Room 1,cs.PF
456,"Practical large-scale spatio-temporal modeling of particulate matter
  concentrations",Room 1,stat.AP
457,Occupational segregation in a Roy model with composition preferences,Room 4,econ.TH
458,The Reactive Volatility Model,Room 3,q-fin.ST
459,Reading Dependencies from Covariance Graphs,Room 1,stat.ML
460,"The G\""{a}rtner-Ellis theorem, homogenization, and affine processes",Room 3,q-fin.MF
461,Next-Generation Conflict Forecasting: Unleashing Predictive Patterns through Spatiotemporal Learning,Room 1,stat.OT
462,"Liquid State Machines in Adbiatic Quantum Computers for General
  Computation",Room 12,cs.CC
463,"Rapid simulation of protein motion: merging flexibility, rigidity and
  normal mode analyses",Room 8,q-bio.BM
464,"Variance Estimation Using Refitted Cross-validation in Ultrahigh
  Dimensional Regression",Room 1,stat.ME
